CellID,DNA1,BG1,BG2,BG3,DNA2,CD25,CD2,CD10,DNA3,CD163,CD3D,CD5,DNA4,CD30,ACTIN,CD45,DNA5,CD206,CD68,PD1,DNA6,KI67,CD11C,CD7,DNA7,CD8A,FOXP3,CD20,DNA8,CD4,HLADR,PSTAT3,DNA9,PS6,PERK,CD21,DNA10,CD43,NOS2,PDL1,DNA11,CD11B,CD57,MHCI,DNA12,CD15,ASMA,CD56,X_centroid,Y_centroid,Area,MajorAxisLength,MinorAxisLength,Eccentricity,Solidity,Extent,Orientation,CD25_expression,CD163_expression,CD3D_expression,CD45_expression,CD206_expression,CD68_expression,PD1_expression,KI67_expression,CD11C_expression,CD8A_expression,FOXP3_expression,CD20_expression,CD4_expression,HLADR_expression,CD21_expression,CD43_expression,NOS2_expression,PDL1_expression,CD11B_expression,CD57_expression,MHCI_expression,CD15_expression,ASMA_expression,CD56_expression,detailed_cell_type,broad_cell_type
841,17317.96471,671.5882353,492.4,1076.0,15009.44706,555.8235294,451.5529412,1505.494118,8284.858824,462.3058824,437.5882353,1726.0,11981.07059,1077.494118,3324.917647,2083.082353,4488.223529,1119.035294,338.7882353,3131.364706,8123.235294,2350.376471,790.5058824,463.5764706,9571.294118,352.8352941,111.3176471,3455.682353,7990.870588,1352.435294,772.2470588,2771.576471,6764.152941,540.8352941,243.9411765,13227.14118,5438.247059,816.1176471,370.7764706,1342.341176,4141.788235,912.6,147.0705882,3063.741176,3484.517647,1184.070588,186.9058824,3185.917647,654.1882353,246.1294118,85,12.70582125,9.59338886,0.655680038,0.885416667,0.594405594,-1.436086364,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,Follicular Dendritic Cell,B Cells
842,19549.125,779.828125,582.6145833,1118.083333,17333.54167,626.3385417,551.1822917,1661.052083,9790.364583,498.6302083,464.4895833,1802.375,13875.81771,1179.364583,5566.104167,3779.854167,4986.442708,1183.489583,366.4947917,3112.557292,8993.723958,537.234375,152.734375,489.9166667,10596.58854,409.6510417,114.6145833,7296.729167,9145.666667,1350.802083,1005.71875,2785.9375,7604.760417,549.4322917,268.0729167,17781.60417,6172.0625,830.0104167,392.5,1346.390625,4704.015625,733.1510417,160.125,6907.338542,3987.307292,1231.838542,191.5989583,3219.479167,724.9166667,247.9947917,192,18.14682409,14.01777076,0.635058392,0.941176471,0.711111111,-1.343369554,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,B Cell,B Cells
843,19496.13861,723.039604,468.8019802,1082.089109,17172.41584,587.5445545,476.8564356,1561.09901,9729.90099,478.4653465,374.6138614,1804.648515,13312.34653,1120.257426,3227.326733,2142.653465,4936.70297,1141.39604,380.450495,2582.475248,8833.693069,6874.579208,709.029703,428.7277228,10564.35149,438.6534653,109.8019802,3885.747525,8973.376238,1314.351485,987.2673267,2777.519802,7370.693069,764.2772277,244.0,6833.891089,6068.544554,781.5594059,389.8960396,1331.514851,4568.014851,789.019802,152.8465347,3257.366337,3860.767327,1180.049505,174.5841584,3187.217822,745.3118812,248.8762376,202,16.79565611,15.61877486,0.367738033,0.966507177,0.742647059,1.458144996,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,Follicular Dendritic Cell,B Cells
844,35639.89474,851.0350877,502.877193,1116.175439,31540.50877,700.754386,504.8421053,1577.035088,17647.0,581.5964912,570.2631579,1765.561404,25144.78947,1297.684211,5112.210526,3819.526316,9052.719298,1366.894737,405.2982456,2521.596491,16615.03509,416.4912281,812.0877193,482.5438596,19773.0,481.0175439,133.2105263,3455.912281,16224.68421,1542.438596,933.7719298,2813.736842,13185.50877,613.754386,296.4210526,3792.947368,10874.73684,933.5789474,457.3859649,1321.175439,8091.929825,828.6315789,177.122807,4700.070175,6817.947368,1347.403509,408.4385965,3248.666667,486.6315789,248.0526316,57,10.23886973,7.276639345,0.70350758,0.982758621,0.575757576,0.513674598,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,Follicular Dendritic Cell,B Cells
845,23526.62162,846.972973,637.3423423,1153.630631,20287.24324,735.3153153,918.4504505,1789.198198,11746.78378,533.5765766,1501.126126,1939.027027,16461.21622,1283.252252,5814.09009,3439.666667,5916.693694,1237.981982,378.8918919,4277.828829,10798.27027,4649.630631,171.3333333,1206.252252,12916.92793,446.9459459,120.7657658,3144.0,11012.10811,1993.441441,998.7207207,2807.045045,8947.576577,599.7117117,288.3423423,24030.44144,7389.369369,1380.18018,430.1261261,1395.576577,5494.027027,1082.315315,161.9189189,5953.738739,4740.144144,1304.882883,252.1441441,3298.09009,767.4144144,248.3333333,111,14.50811227,9.822655811,0.735940926,0.925,0.720779221,1.351867529,1,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,Helper T Cell,T Cells
846,22701.26549,846.0265487,520.2389381,1044.238938,20632.30973,681.2654867,665.1504425,1491.053097,11335.21239,551.2300885,508.9026549,1760.946903,15901.33628,1258.292035,4278.761062,3386.176991,6366.876106,1304.318584,397.9646018,2457.026549,11781.15929,393.2300885,1188.663717,593.4070796,13289.83186,422.9469027,125.9380531,2668.831858,10620.9115,1618.123894,891.6283186,2798.840708,8900.893805,859.5309735,272.0176991,1904.0,7247.415929,911.5840708,437.7876106,1326.168142,5797.893805,923.4513274,174.539823,7045.053097,4665.858407,1352.99115,1458.026549,3167.477876,343.9646018,250.300885,113,15.15960936,10.90956335,0.694340392,0.768707483,0.504464286,-0.664140417,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,Dendritic Cell,Other Cells
847,27674.59551,967.4831461,554.494382,1118.078652,23483.37079,733.6067416,682.247191,1820.651685,13234.8764,616.5617978,498.5393258,1888.494382,18691.91011,1351.224719,3533.033708,2036.404494,6703.438202,1383.303371,407.7977528,2438.561798,12244.50562,434.988764,349.0,443.3707865,14569.04494,446.7303371,127.1123596,786.8876404,11869.14607,1526.932584,752.0449438,2838.764045,9653.808989,766.9213483,289.5393258,1469.988764,7797.168539,1178.123596,456.6179775,1324.179775,6012.898876,3750.94382,169.3370787,1443.539326,4958.325843,2159.0,816.7191011,3297.741573,358.8764045,249.5955056,89,13.72924571,8.798272124,0.767673115,0.86407767,0.577922078,0.517174943,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,Macrophage,Other Cells
848,38101.76866,971.6567164,512.5895522,1105.656716,33159.6194,748.9626866,724.2014925,1584.619403,17328.33582,622.141791,604.8880597,1762.567164,24132.65672,1371.537313,4592.11194,3340.246269,8701.350746,1357.955224,411.141791,2593.343284,16168.46269,406.8880597,491.7164179,701.1641791,18698.74627,413.761194,137.5970149,2530.753731,15054.02985,1731.283582,955.3283582,2810.895522,12302.26119,588.3432836,291.9776119,1960.067164,9937.41791,932.8208955,457.1716418,1319.873134,7549.350746,744.3731343,175.9850746,2790.246269,6074.69403,1317.365672,279.2761194,3369.477612,441.2238806,249.261194,134,17.5754686,10.23968637,0.812750123,0.893333333,0.62037037,1.339596499,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,NK Cell,Other Cells
849,29401.78916,819.3855422,520.4337349,1112.385542,26178.27108,666.5662651,591.6987952,1696.337349,14742.77108,543.2650602,788.560241,1855.849398,20667.3494,1286.698795,6239.939759,3563.403614,7317.524096,1246.078313,360.4518072,3698.006024,13770.88554,3663.506024,139.8493976,641.9578313,16330.40361,430.8855422,118.9578313,6238.921687,13528.39157,1600.981928,1011.981928,2817.783133,11152.44578,678.7289157,269.8795181,7191.457831,8872.590361,1046.716867,428.8855422,1317.506024,6578.578313,658.9156627,158.8253012,3880.337349,5653.096386,1269.746988,170.1987952,3302.710843,586.8313253,253.1506024,166,19.93944116,11.01852073,0.833447084,0.887700535,0.638461538,-0.151976161,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,T Cell,T Cells
850,21972.11429,806.0228571,549.2971429,1122.177143,19345.05143,639.2514286,598.2,1703.645714,11154.46286,525.4971429,468.5771429,1792.245714,15861.28,1210.074286,5407.177143,3715.165714,5609.365714,1192.64,370.4114286,3170.96,10244.70857,879.7828571,131.6228571,526.7885714,12156.94857,417.0914286,118.4685714,7668.182857,10405.49714,1391.885714,911.0228571,2791.885714,8535.08,557.2057143,266.4628571,18671.46857,6913.4,827.3828571,394.9314286,1351.811429,5289.6,781.4342857,158.0342857,4259.302857,4504.788571,1249.514286,171.2971429,3236.274286,704.0914286,253.3371429,175,24.08296036,10.32507626,0.903432892,0.837320574,0.484764543,0.917034194,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,B Cell,B Cells
